iter	Passed	Remaining
493	980	1004
494	984	1004
495	991	1007
496	995	1007
497	998	1006
498	1000	1004
499	1002	1002
500	1004	1000
501	1006	998
502	1007	995
503	1009	993
504	1011	991
505	1012	988
506	1013	985
507	1014	982
508	1015	980
509	1017	977
510	1018	974
511	1019	971
512	1020	969
513	1021	966
514	1022	963
515	1023	960
516	1024	957
517	1025	954
518	1026	951
519	1027	948
520	1028	945
521	1029	942
522	1029	939
523	1030	936
524	1031	933
525	1032	930
526	1033	927
527	1033	924
528	1034	921
529	1040	923
530	1047	924
531	1049	923
532	1053	922
533	1055	920
534	1056	918
535	1058	916
536	1061	914
537	1062	912
538	1064	910
539	1065	908
540	1067	905
541	1068	903
542	1070	900
543	1071	897
544	1072	895
545	1073	892
546	1074	889
547	1075	887
548	1076	884
549	1077	881
550	1078	879
551	1079	876
552	1080	873
553	1081	870
554	1082	868
555	1083	865
556	1084	862
557	1085	859
558	1086	856
559	1087	854
560	1087	851
561	1088	848
562	1089	845
563	1090	842
564	1091	839
565	1091	837
566	1092	834
567	1095	833
568	1102	835
569	1106	834
570	1109	833
571	1111	831
572	1113	829
573	1115	827
574	1117	825
575	1118	823
576	1120	821
577	1121	818
578	1122	816
579	1124	814
580	1125	811
581	1126	809
582	1127	806
583	1129	804
584	1130	801
585	1131	799
586	1132	796
587	1133	794
588	1134	791
589	1135	788
590	1136	786
591	1137	783
592	1138	781
593	1139	778
594	1140	776
595	1141	773
596	1141	770
597	1142	768
598	1143	765
599	1144	762
600	1145	760
601	1145	757
602	1146	754
603	1147	752
604	1148	749
605	1148	746
606	1153	746
607	1160	748
608	1163	746
609	1165	745
610	1167	743
611	1170	741
612	1172	739
613	1173	737
614	1175	735
615	1176	733
616	1177	731
617	1179	728
618	1180	726
619	1181	724
620	1182	721
621	1184	719
622	1185	717
623	1186	714
624	1187	712
625	1188	710
626	1189	707
627	1190	705
628	1191	702
629	1192	700
630	1192	697
631	1193	695
632	1194	692
633	1195	690
634	1196	687
635	1197	685
636	1198	683
637	1199	680
638	1200	678
639	1201	675
640	1201	673
641	1202	670
642	1203	668
643	1204	665
644	1204	663
645	1206	661
646	1212	661
647	1218	662
648	1221	660
649	1223	658
650	1225	656
651	1226	654
652	1229	653
653	1230	650
654	1231	648
655	1233	646
656	1234	644
657	1235	642
658	1237	640
659	1238	637
660	1239	635
661	1240	633
662	1241	631
663	1242	628
664	1243	626
665	1245	624
666	1246	622
667	1246	619
668	1247	617
669	1248	615
670	1249	612
671	1250	610
672	1251	608
673	1252	605
674	1253	603
675	1254	601
676	1255	598
677	1255	596
678	1256	594
679	1257	591
680	1258	589
681	1259	587
682	1259	584
683	1260	582
684	1261	580
685	1267	580
686	1273	580
687	1277	579
688	1278	577
689	1280	575
690	1282	573
691	1284	571
692	1285	569
693	1287	567
694	1288	565
695	1290	563
696	1291	561
697	1293	559
698	1294	557
699	1295	555
700	1296	552
701	1297	550
702	1298	548
703	1299	546
704	1300	544
705	1301	541
706	1302	539
707	1303	537
708	1304	535
709	1305	533
710	1306	530
711	1307	528
712	1307	526
713	1308	524
714	1309	522
715	1310	519
716	1311	517
717	1312	515
718	1312	513
719	1313	510
720	1314	508
721	1315	506
722	1315	504
723	1316	501
724	1317	499
725	1323	499
726	1329	499
727	1332	497
728	1334	496
729	1336	494
730	1338	492
731	1340	490
732	1341	488
733	1343	486
734	1344	484
735	1345	482
736	1347	480
737	1348	478
738	1350	476
739	1351	474
740	1352	472
741	1353	470
742	1354	468
743	1355	466
744	1356	464
745	1357	462
746	1358	460
747	1359	458
748	1360	455
749	1361	453
750	1362	451
751	1363	449
752	1364	447
753	1365	445
754	1365	443
755	1366	441
756	1367	438
757	1368	436
758	1369	434
759	1369	432
760	1370	430
761	1371	428
762	1372	426
763	1373	424
764	1373	422
765	1379	421
766	1385	420
767	1388	419
768	1390	417
769	1392	415
770	1394	414
771	1395	412
772	1397	410
773	1399	408
774	1400	406
775	1401	404
776	1403	402
777	1404	400
778	1405	398
779	1406	396
780	1407	394
781	1409	392
782	1410	390
783	1411	388
784	1412	386
785	1413	384
786	1414	382
787	1415	380
788	1416	378
789	1417	376
790	1418	374
791	1419	372
792	1419	370
793	1420	368
794	1421	366
795	1422	364
796	1423	362
797	1424	360
798	1424	358
799	1425	356
800	1426	354
801	1427	352
802	1427	350
803	1428	348
804	1429	346
805	1434	345
806	1440	344
807	1444	343
808	1447	341
809	1449	339
810	1450	338
811	1452	336
812	1454	334
813	1455	332
814	1457	330
815	1458	328
816	1459	326
817	1460	325
818	1462	323
819	1463	321
820	1464	319
821	1465	317
822	1466	315
823	1467	313
824	1468	311
825	1469	309
826	1470	307
827	1471	305
828	1472	303
829	1473	301
830	1474	299
831	1475	297
832	1476	295
833	1476	293
834	1477	292
835	1478	290
836	1479	288
837	1480	286
838	1481	284
839	1481	282
840	1482	280
841	1483	278
842	1484	276
843	1484	274
844	1485	272
845	1486	270
846	1491	269
847	1496	268
848	1500	266
849	1503	265
850	1504	263
851	1506	261
852	1508	259
853	1510	258
854	1511	256
855	1513	254
856	1514	252
857	1516	250
858	1517	249
859	1519	247
860	1520	245
861	1521	243
862	1522	241
863	1523	239
864	1524	237
865	1525	236
866	1526	234
867	1528	232
868	1528	230
869	1529	228
870	1530	226
871	1531	224
872	1532	222
873	1533	221
874	1534	219
875	1535	217
876	1536	215
877	1536	213
878	1537	211
879	1538	209
880	1539	207
881	1539	206
882	1540	204
883	1541	202
884	1542	200
885	1542	198
886	1548	197
887	1555	196
888	1558	194
889	1560	192
890	1561	191
891	1563	189
892	1564	187
893	1566	185
894	1568	183
895	1569	182
896	1570	180
897	1571	178
898	1573	176
899	1574	174
900	1575	173
901	1576	171
902	1577	169
903	1578	167
904	1579	165
905	1580	164
906	1582	162
907	1583	160
908	1584	158
909	1585	156
910	1586	154
911	1586	153
912	1587	151
913	1588	149
914	1589	147
915	1590	145
916	1591	144
917	1591	142
918	1592	140
919	1593	138
920	1594	136
921	1594	134
922	1595	133
923	1596	131
924	1597	129
925	1597	127
926	1598	125
927	1599	124
928	1604	122
929	1610	121
930	1614	119
931	1616	117
932	1617	116
933	1619	114
934	1620	112
935	1622	110
936	1623	109
937	1625	107
938	1626	105
939	1627	103
940	1629	102
941	1630	100
942	1631	98
943	1632	96
944	1633	95
945	1634	93
946	1635	91
947	1636	89
948	1637	88
949	1638	86
950	1639	84
951	1640	82
952	1641	80
953	1642	79
954	1643	77
955	1644	75
956	1645	73
957	1645	72
958	1646	70
959	1647	68
960	1648	66
961	1649	65
962	1649	63
963	1650	61
964	1651	59
965	1652	58
966	1652	56
967	1653	54
968	1654	52
969	1655	51
970	1658	49
971	1664	47
972	1668	46
973	1670	44
974	1672	42
975	1674	41
976	1676	39
977	1678	37
978	1679	36
979	1681	34
980	1682	32
981	1683	30
982	1685	29
983	1686	27
984	1687	25
985	1688	23
986	1690	22
987	1691	20
988	1692	18
989	1693	17
990	1694	15
991	1695	13
992	1696	11
993	1697	10
994	1698	8
995	1699	6
996	1700	5
997	1701	3
998	1702	1
999	1702	0
